year,country,activity,sex,age,fatal,datetime_column,string_column,month,season
2023,USA,wading,F,37,no,2023-09-04 00:00:00,04 Sep 2023,9,Autumn
2023,AUSTRALIA,surfing,M,44,unknown,2023-08-25 00:00:00,25 Aug 2023,8,Summer
2023,USA,wading,,9,no,2023-08-23 00:00:00,23 Aug-2023,8,Summer
2023,USA,fishing,M,19,no,2023-08-22 00:00:00,22 Aug-2023,8,Summer
2023,BAHAMAS,,M,20/30,unknown,2023-08-21 00:00:00,21 Aug-2023,8,Summer
2023,SPAIN,wading,M,35,no,2023-08-16 00:00:00,16 Aug-2023,8,Summer
2023,PORTUGAL,fishing,M,,no,2023-08-16 00:00:00,16 Aug-2023,8,Summer
2023,SAMOA,towing a dead whale out to sea,M,,yes,2023-08-12 00:00:00,12 Aug-2023,8,Summer
2023,USA,wading,F,65,no,2023-08-07 00:00:00,07 Aug-2023,8,Summer
2023,USA,surfing,M,22,no,2023-07-31 00:00:00,31 Jul-2023,7,Summer
2023,USA,fishing,M,22,no,2023-07-30 00:00:00,30 Jul-2023,7,Summer
2023,USA,swimming,F,26,no,2023-07-29 00:00:00,29 Jul-2023,7,Summer
2023,AUSTRALIA,surfing,M,20s,no,2023-07-24 00:00:00,24 Jul-2023,7,Summer
2023,AUSTRALIA,snorkeling,M,77,no,2023-07-22 00:00:00,22 Jul-2023,7,Summer
2023,USA,boogie boarding,M,60,no,2023-07-21 00:00:00,21 Jul-2023,7,Summer
2023,COLOMBIA,diving,M,38,no,2023-07-18 00:00:00,18 Jul-2023,7,Summer
2023,USA,sitting,M,49,no,2023-07-15 00:00:00,15 Jul-2023,7,Summer
2023,USA,surfing,M,21,no,2023-07-14 00:00:00,14 Jul-2023,7,Summer
2023,SOUTH AFRICA,watching the sardine run,,,no,2023-07-01 00:00:00,Reported 14 Jul-2023,7,Summer
2023,ECUADOR,snorkeling,F,42,no,2023-07-04 00:00:00,04 Jul-2023,7,Summer
2023,USA,standing,F,,no,2023-07-04 00:00:00,04 Jul-2023,7,Summer
2023,USA,swimming,M,49,no,2023-07-04 00:00:00,04 Jul-2023,7,Summer
2023,USA,swimming,M,47,no,2023-07-04 00:00:00,04 Jul-2023,7,Summer
2023,USA,surfing,M,15,no,2023-07-03 00:00:00,03 Jul-2023,7,Summer
2023,USA,swimming,F,15,no,2023-07-03 00:00:00,03 Jul-2023,7,Summer
2023,USA,swimming,F,!2,no,2023-06-23 00:00:00,23-Jun-2023,6,Summer
2023,USA,fishing,M,,no,2023-06-23 00:00:00,23-Jun-2023,6,Summer
2023,EGYPT,swimming,M,24,yes,2023-06-08 00:00:00,08-Jun 2023,6,Summer
2023,BAHAMAS,diving,F,73,unknown,2023-06-07 00:00:00,07-Jun-2023,6,Summer
2023,FRENCH POLYNESIA,surfing,F,25,no,2023-05-28 00:00:00,28-May 2023,5,Spring
2023,NEW CALEDONIA,fishing,M,42,yes,2023-05-28 00:00:00,28-May 2023,5,Spring
2023,TURKS and CaICOS,snorkeling,F,22,no,2023-05-24 00:00:00,24-May 2023,5,Spring
2023,BAHAMAS,jumped overboard,M,18,yes,2023-05-24 00:00:00,24 May 2023,5,Spring
2023,USA,shark feeding,F,26,no,2023-05-20 00:00:00,,5,Spring
2023,USA,surfing,F,15,no,2023-05-21 00:00:00,21-May 2023,5,Spring
2023,USA,fishing,M,35,no,2023-05-19 00:00:00,19 -May 2023,5,Spring
2023,USA,fishing,M,20,no,2023-05-18 00:00:00,18-May-2023,5,Spring
2023,USA,swimming,F,24,no,2023-05-14 00:00:00,14-May-2023,5,Spring
2023,AUSTRALIA,surfing,M,46,yes,2023-05-13 00:00:00,13-May-2023,5,Spring
2023,USA,sitting,F,13,no,2023-05-11 00:00:00,11-May-2023,5,Spring
2023,USA,fishing,M,,no,2023-05-11 00:00:00,11-May-2023,5,Spring
2023,CUBA,fishing,M,,yes,2023-05-09 00:00:00,09 May-2023,5,Spring
2023,USA,fishing,M,22,no,2023-05-05 00:00:00,05-May-2023,5,Spring
2023,SOUTH AFRICA,surfing,M,50s,no,2023-05-03 00:00:00,03-May-2023,5,Spring
2023,SOUTH AFRICA,diving,M,39,no,2023-05-01 00:00:00,01-May-2023,5,Spring
2023,AUSTRALIA,swimming,M,,no,2023-04-29 00:00:00,29-Apr-2023,4,Spring
2023,AUSTRALIA,snorkeling,M,11,no,2023-04-29 00:00:00,29-Apr-2023,4,Spring
2023,USA,fishing,M,,no,2023-04-23 00:00:00,23-Apr-2023,4,Spring
2023,AUSTRALIA,surfing,M,30,no,2023-04-22 00:00:00,22-Apr-2023,4,Spring
2023,USA,surfing,F,50s,no,2023-04-11 00:00:00,11-Apr-2023,4,Spring
